,title,company,salary,location
49,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
50,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
51,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
52,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
53,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
54,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
55,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
56,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
57,Junior Data Analyst / Data Scientist (ambito Telco),Risorse SpA,Tempo indeterminato,20121 Milano
58,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
59,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
60,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
61,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
62,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
63,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
64,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
65,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
66,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
67,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
68,Business Analyst,Michael Page,No salary,"Roma, Lazio"
69,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
70,Customer Experience Analyst (Stage),Mediaworld,Tirocinio formativo/stage,20843 Verano Brianza
71,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
72,Strategy business analyst,Alyant,Tempo pieno,37122 Verona
73,DATA GOVERNANCE SPECIALIST,AENEAS Srl,Tempo pieno +1,"Udine, Friuli-Venezia Giulia"
74,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
75,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
76,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
77,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
78,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
79,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
80,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
81,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
82,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
83,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
84,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
85,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
86,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
87,Data Analyst,Randstad,Tempo pieno,20100 Milano
